RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP
422,Cedrick Wilson Jr. (NO),WR100,0,0,0,649,+ 227
423,Treylon Burks (TEN),WR101,0,0,0,481,+ 58
424,Luke Schoonmaker (DAL),TE61,0,0,0,355,-69
425,Stephen Sullivan (FA),TE62,0,0,0,,
426,Johnny Mundt (MIN),TE63,0,0,0,538,+ 112
427,Connor Heyward (PIT),TE64,0,0,0,342,-85
428,Foster Moreau (NO),TE65,0,0,0,655,+ 227
429,Josh Whyle (TEN),TE66,0,0,0,682,+ 253
430,Will Mallory (IND),TE67,0,0,0,506,+ 76
431,Parker Washington (JAC),WR102,0,0,0,557,+ 126
432,Devin Culp (TB),TE68,0,0,0,672,+ 240
433,Tanner McLachlan (CIN),TE69,0,0,0,856,+ 423
434,Pharaoh Brown (SEA),TE70,0,0,0,512,+ 78
435,Ian Thomas (CAR),TE71,0,0,0,708,+ 273
436,AJ Barner (SEA),TE72,0,0,0,529,+ 93
437,Gardner Minshew II (LV),QB32,0,0,0,256,-181
438,John FitzPatrick (FA),TE73,0,0,0,669,+ 231
439,Cameron Latu (SF),TE74,0,0,0,598,+ 159
440,Brayden Willis (SF),TE75,0,0,0,618,+ 178
441,Davis Allen (LAR),TE76,0,0,0,436,-5
442,Cedric Tillman (CLE),WR103,0,0,0,681,+ 239
443,Peyton Hendershot (KC),TE77,0,0,0,542,+ 99
444,JuJu Smith-Schuster (KC),WR104,0,0,0,307,-137
445,Travis Vokolek (ARI),TE78,0,0,0,832,+ 387
446,Alec Pierce (IND),WR105,0,0,0,380,-66
447,Troy Franklin (DEN),WR106,0,0,0,221,-226
448,Jordan Akins (CLE),TE79,0,0,0,580,+ 132
449,Calvin Austin III (PIT),WR107,0,0,0,459,+ 10
450,Tip Reiman (ARI),TE80,0,0,0,861,+ 411
451,Brenton Strange (JAC),TE81,0,0,0,599,+ 148
