RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
597,Chris Conley (SF),WR203,0,0,0,559.0,-38,WR,
598,Dee Eskridge (FA),WR204,0,0,0,666.0,+ 68,WR,
599,Laviska Shenault Jr. (SEA),WR205,0,0,0,744.0,+ 145,WR,
600,Tim Jones (JAC),WR206,0,0,0,760.0,+ 160,WR,
601,Equanimeous St. Brown (NO),WR207,0,0,0,338.0,-263,WR,
602,Danny Gray (SF),WR208,0,0,0,674.0,+ 72,WR,
603,River Cracraft (MIA),WR209,0,0,0,553.0,-50,WR,
604,Scotty Miller (PIT),WR210,0,0,0,731.0,+ 127,WR,
605,Sterling Shepard (FA),WR211,0,0,0,630.0,+ 25,WR,
606,Miles Boykin (NYG),WR212,0,0,0,719.0,+ 113,WR,
607,Tre'Quan Smith (DET),WR213,0,0,0,869.0,+ 262,WR,
608,Terrace Marshall Jr. (FA),WR214,0,0,0,764.0,+ 156,WR,
609,John Stephens Jr. (DAL),WR215,0,0,0,839.0,+ 230,WR,
610,Andre Baccellia (FA),WR216,0,0,0,,,WR,
611,Tylan Wallace (BAL),WR217,0,0,0,401.0,-210,WR,
612,Austin Mack (FA),WR218,0,0,0,890.0,+ 278,WR,
613,Josh Ali (FA),WR219,0,0,0,822.0,+ 209,WR,
614,Racey McMath (FA),WR220,0,0,0,906.0,+ 292,WR,
615,Dareke Young (SEA),WR221,0,0,0,597.0,-18,WR,
616,Dax Milne (LV),WR222,0,0,0,,,WR,
617,Easop Winston Jr. (FA),WR223,0,0,0,746.0,+ 129,WR,
618,Britain Covey (PHI),WR224,0,0,0,523.0,-95,WR,
619,Jha'Quan Jackson (TEN),WR225,0,0,0,489.0,-130,WR,
620,James Proche II (FA),WR226,0,0,0,521.0,-99,WR,
621,DJ Turner (LV),WR227,0,0,0,761.0,+ 140,WR,
622,Jaelon Darden (FA),WR228,0,0,0,911.0,+ 289,WR,
623,Kawaan Baker (FA),WR229,0,0,0,773.0,+ 150,WR,
624,Tyler Johnson (LAR),WR230,0,0,0,,,WR,
625,Byron Pringle (WAS),WR231,0,0,0,445.0,-180,WR,
626,Simi Fehoko (LAC),WR232,0,0,0,904.0,+ 278,WR,
627,Braylon Sanders (FA),WR233,0,0,0,816.0,+ 189,WR,
628,Anthony Schwartz (MIA),WR234,0,0,0,903.0,+ 275,WR,
629,DeAndre Carter (CHI),WR235,0,0,0,518.0,-111,WR,
630,Collin Johnson (FA),WR236,0,0,0,632.0,+ 2,WR,
631,Malik Taylor (NYJ),WR237,0,0,0,733.0,+ 102,WR,
632,Irvin Charles (NYJ),WR238,0,0,0,,,WR,
633,Stanley Morgan Jr. (NO),WR239,0,0,0,718.0,+ 85,WR,
634,Cody White (FA),WR240,0,0,0,887.0,+ 253,WR,
635,Montrell Washington (FA),WR241,0,0,0,786.0,+ 151,WR,
636,Lance McCutcheon (FA),WR242,0,0,0,,,WR,
637,Velus Jones Jr. (CHI),WR243,0,0,0,485.0,-152,WR,
638,Tom Kennedy (FA),WR244,0,0,0,517.0,-121,WR,
639,Daurice Fountain (FA),WR245,0,0,0,706.0,+ 67,WR,
640,Maurice Alexander (FA),WR246,0,0,0,620.0,-20,WR,
641,Cephus Johnson III (TB),WR247,0,0,0,943.0,+ 302,WR,
642,Erik Ezukanma (FA),WR248,0,0,0,793.0,+ 151,WR,
643,Trishton Jackson (MIN),WR249,0,0,0,548.0,-95,WR,
644,Seth Williams (FA),WR250,0,0,0,905.0,+ 261,WR,
645,Kristian Wilkerson (LV),WR251,0,0,0,756.0,+ 111,WR,
646,David Sills (FA),WR252,0,0,0,,,WR,
647,Tyrie Cleveland (FA),WR253,0,0,0,740.0,+ 93,WR,
648,Gunner Olszewski (NYG),WR254,0,0,0,526.0,-122,WR,
649,Mike Strachan (FA),WR255,0,0,0,898.0,+ 249,WR,
650,Jalen Camp (FA),WR256,0,0,0,907.0,+ 257,WR,
651,Jalen Virgil (FA),WR257,0,0,0,428.0,-223,WR,
652,Cam Sims (FA),WR258,0,0,0,872.0,+ 220,WR,
653,Mason Kinsey (FA),WR259,0,0,0,895.0,+ 242,WR,
654,Colton Dowell (TEN),WR260,0,0,0,923.0,+ 269,WR,
655,N'Keal Harry (FA),WR261,0,0,0,722.0,+ 67,WR,
656,Juwann Winfree (IND),WR262,0,0,0,877.0,+ 221,WR,
657,Dez Fitzpatrick (FA),WR263,0,0,0,591.0,-66,WR,
658,Marquez Callaway (FA),WR264,0,0,0,755.0,+ 97,WR,
