PLAYER NAME,TEAM,STRD RK,PPR .5 RK,PPR Full Point RK,Super Flex Full PPR RK,STRD TIERS,Rookie,AGE,Cuff,Oline Pass Blk,Oline Run Blk,OLine Total,STRD POS RK,POS,BYE,Team Depth Chart,1st 5 games SoS by position,Full SoS by position,Playoff SoS by position,Boom Factor,QB WR/TE Boom,Prop Bet TDS,Prop Bet Pass Yds,Prop Bet Rush Yds,Prop Bet Rec Yds
Terrace Marshall Jr.,CAR,460,461,443,406,15,,24,,GREAT,GOOD,GOOD,WR160,WR,11,WR5,easy,easy,average,BOOM,BOOM,-,,,-
Emanuel Wilson,GB,476,482,458,407,15,,-,,ELITE,OK,GREAT,RB128,RB,10,-,hard,hard,average, ,,-,,-,
Cornelius Johnson,LAC,490,490,494,410,15,rookie,-,,GREAT,OK,GOOD,WR166,WR,5,WR7,easy,average,easy,BOOM,BOOM,-,,,-
Mo Alie-Cox,IND,451,488,464,411,15,,-,,GREAT,GREAT,GREAT,TE65,TE,14,-,average,average,easy, ,,-,,,-
Brock Wright,DET,477,491,476,413,15,,25,,ELITE,ELITE,ELITE,TE69,TE,5,-,average,average,average, ,,-,,,-
Jalen Guyton,LV,483,486,506,424,15,,-,,GREAT,GOOD,GOOD,WR165,WR,10,WR4,average,average,easy, ,,-,,,-
Zach Evans,LAR,486,508,479,428,15,,23,,GOOD,GOOD,GREAT,RB130,RB,6,-,easy,average,average, ,,-,,-,
Kendall Milton,PHI,492,511,491,429,15,rookie,22,,ELITE,ELITE,ELITE,RB132,RB,5,-,hard,easy,easy, ,,-,,-,
Leonard Fournette,FA,471,512,480,430,15,,29,,-,-,-,RB127,RB,-,-,-,-,-,-,,-,,-,
Justyn Ross,KC,456,513,473,431,15,,24,,ELITE,GREAT,ELITE,WR158,WR,6,WR8,average,average,average, ,,-,,,-
Tip Reiman,ARI,495,500,522,440,15,rookie,22,,OK,OK,BAD,TE76,TE,11,-,hard,easy,average, ,,-,,,-
Ian Thomas,CAR,482,526,477,441,15,,-,,GREAT,GOOD,GOOD,TE72,TE,11,-,average,average,easy, ,,-,,,-
Spencer Rattler,NO,432,468,428,446,15,rookie,23,,BAD,OK,BAD,QB47,QB,12,-,hard,easy,easy, ,,-,-,-,
Michael Wiley,WAS,493,599,509,504,15,rookie,-,,OK,GOOD,OK,RB133,RB,14,-,easy,average,easy,,,-,,-,
Andy Dalton,CAR,461,519,463,529,15,,36,,GREAT,GOOD,GOOD,QB50,QB,11,-,easy,easy,easy,BOOM,BOOM,-,-,-,
Zach Wilson,DEN,485,576,484,549,15,,25,,GREAT,GOOD,GOOD,QB55,QB,14,-,average,hard,easy, ,,-,-,-,
Tyrod Taylor,NYJ,426,435,424,#N/A,15,,35,,OK,ELITE,GREAT,QB45,QB,12,-,hard,hard,average, ,,-,-,-,
Riley Patterson,WAS,429,453,465,#N/A,15,,24,,OK,GOOD,OK,K31,K,14,-,hard,hard,easy,,,-,,,
Will Reichard,MIN,436,459,432,#N/A,15,,-,,GREAT,ELITE,GREAT,K32,K,6,-,hard,easy,average,,,-,,,
Joshua Dobbs,SF,447,443,442,#N/A,15,,29,,OK,GREAT,OK,QB48,QB,9,-,average,hard,easy, ,,-,-,-,
Nick Folk,TEN,464,438,505,#N/A,15,,39,,BAD,BAD,BAD,K34,K,5,-,average,easy,average,,,-,,,
Carson Wentz,KC,475,460,462,#N/A,15,,31,,ELITE,GREAT,ELITE,QB52,QB,6,-,easy,average,average,BOOM,,-,-,-,
Jimmy Garoppolo,LAR,479,484,489,#N/A,15,,32,,GOOD,GOOD,GREAT,QB53,QB,6,-,easy,easy,average, ,,-,-,-,
Cody Schrader,SF,496,463,455,388,16,rookie,24,,OK,GREAT,OK,RB134,RB,9,-,average,hard,easy, ,,-,,-,
Trent Sherfield Sr.,MIN,505,478,495,401,16,,-,,GREAT,ELITE,GREAT,WR170,WR,6,WR4,easy,average,easy,BOOM,BOOM,-,,,-
Jordan Akins,CLE,527,474,511,402,16,,-,,ELITE,GREAT,ELITE,TE82,TE,10,-,average,average,easy, ,,-,,,-
Devin Duvernay,JAC,502,476,487,404,16,,-,,GREAT,BAD,OK,WR169,WR,12,WR5,hard,easy,average, ,,-,,,-
Kyle Philips,TEN,498,481,508,405,16,,25,,BAD,BAD,BAD,WR168,WR (3rd Yr),5,WR6,hard,easy,average, ,,-,,,-
Keilan Robinson,JAC,508,494,507,415,16,rookie,24,,GREAT,BAD,OK,RB138,RB,12,-,average,hard,easy, ,,-,,-,
Raheem Blackshear,CAR,517,497,492,417,16,,-,,GREAT,GOOD,GOOD,RB141,RB,11,-,hard,easy,easy, ,,-,,-,
Laviska Shenault Jr.,SEA,513,475,501,419,16,,-,,BAD,OK,OK,WR173,WR,10,WR5,easy,average,easy, ,,-,,,-
Allen Robinson II,NYG,524,487,518,426,16,,30,,OK,OK,BAD,WR176,WR,11,WR7,average,average,easy, ,,-,,,-
Chris Brooks,MIA,506,521,502,438,16,,-,,OK,GOOD,OK,RB137,RB,6,-,easy,average,average, ,,-,,-,
Anthony Gould,IND,516,510,512,449,16,rookie,-,,GREAT,GREAT,GREAT,WR174,WR,14,WR5,average,easy,easy, ,,-,,,-
Dallin Holker,NO,528,553,527,470,16,rookie,24,,BAD,OK,BAD,TE83,TE,12,-,hard,easy,easy, ,,-,,,-
Sterling Shepard,TB,529,558,524,471,16,,31,,GOOD,BAD,GOOD,WR177,WR,11,WR5,easy,average,easy, ,,-,,,-
Brenton Strange,JAC,531,604,528,508,16,,23,,GREAT,BAD,OK,TE85,TE,12,-,easy,average,easy,BOOM,,-,,,-
Trey Lance,DAL,526,573,530,#N/A,16,,24,,GOOD,GREAT,GOOD,QB61,QB,7,-,hard,hard,easy, ,,-,-,-,
Louis Rees-Zammit,KC,#N/A,547,#N/A,432,#N/A,rookie,23,,ELITE,GREAT,ELITE,#N/A,RB,6,-,average,average,average, ,,-,,-,
Avery Williams,ATL,#N/A,520,532,437,#N/A,,-,,OK,ELITE,ELITE,#N/A,RB,12,-,average,easy,easy, ,,-,,-,
Daijun Edwards,PIT,#N/A,540,#N/A,452,#N/A,rookie,-,,BAD,OK,OK,#N/A,RB,9,-,hard,easy,easy, ,,-,,-,
La'Mical Perine,PIT,#N/A,603,#N/A,509,#N/A,,-,,BAD,OK,OK,#N/A,RB,9,-,hard,easy,easy, ,,-,,-,
J.J. McCarthy,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,rookie,21,,GREAT,ELITE,GREAT,#N/A,QB,6,-,easy,easy,easy,BOOM,BOOM,-,-,-,
Chase Claypool,BUF,#N/A,#N/A,#N/A,#N/A,#N/A,,26,,OK,GOOD,GOOD,#N/A,WR,12,WR5,average,hard,average, ,,-,,,-
Chris Evans,CIN,#N/A,#N/A,#N/A,#N/A,#N/A,,26,,GOOD,GOOD,GREAT,#N/A,RB,12,-,hard,average,easy, ,,-,,-,
